model,stock,n_test,mape
prophet,PFE,200,0.052653493744289154
ann_single,PFE,200,0.0246337473173883
ann_multi,PFE,200,0.0244830253190192
cnn_single,PFE,200,0.08221638622294365
cnn_multi,PFE,200,0.028499408904943912
lstm_single,PFE,200,0.04956996330276537
lstm_multi,PFE,200,0.025283721301033676
gru_single,PFE,200,0.025014069921517276
gru_multi,PFE,200,0.025863361288114294
prophet,MA,200,0.010438793900389567
ann_single,MA,200,0.03644407008522614
ann_multi,MA,200,0.014851168746473688
cnn_single,MA,200,0.01404886416415835
cnn_multi,MA,200,0.01472876316582016
lstm_single,MA,200,0.012501484118455032
lstm_multi,MA,200,0.014312055149125204
gru_single,MA,200,0.041336821662789715
gru_multi,MA,200,0.012697026011075911
prophet,MCD,200,0.006299090334841687
ann_single,MCD,200,0.03390830265786146
ann_multi,MCD,200,0.006883480400483597
cnn_single,MCD,200,0.016842562073676653
cnn_multi,MCD,200,0.0070995711329865365
lstm_single,MCD,200,0.006766083321432998
lstm_multi,MCD,200,0.007690466521970307
gru_single,MCD,200,0.05186871752126171
gru_multi,MCD,200,0.00996950414596389
prophet,OXY,200,0.10894384074989358
ann_single,OXY,200,0.08868009370245368
ann_multi,OXY,200,0.018824181614225832
cnn_single,OXY,200,0.1901935630298628
cnn_multi,OXY,200,0.057296842957686535
lstm_single,OXY,200,0.015854239729593263
lstm_multi,OXY,200,0.05097207940821021
gru_single,OXY,200,0.18373278202942622
gru_multi,OXY,200,0.0537719448087307
prophet,BA,200,0.02668067527280152
ann_single,BA,200,0.0985440755229604
ann_multi,BA,200,0.0291154594546716
cnn_single,BA,200,0.03637291095553118
cnn_multi,BA,200,0.031129992918901447
lstm_single,BA,200,0.027688346071944106
lstm_multi,BA,200,0.030081925507725052
gru_single,BA,200,0.05031904759159042
gru_multi,BA,200,0.029060218284409422
prophet,GE,200,0.029611384013463152
ann_single,GE,200,0.03789077265367785
ann_multi,GE,200,0.04455550360113664
cnn_single,GE,200,0.0625935843971581
cnn_multi,GE,200,0.04648876947009566
lstm_single,GE,200,0.08896598429493227
lstm_multi,GE,200,0.0453405258486012
gru_single,GE,200,0.06900457874186379
gru_multi,GE,200,0.0434373159160576
prophet,GM,200,0.022816278554164713
ann_single,GM,200,0.056842301245591864
ann_multi,GM,200,0.07604473749583397
cnn_single,GM,200,0.12731856270327352
cnn_multi,GM,200,0.06314568921941094
lstm_single,GM,200,0.06981603922677883
lstm_multi,GM,200,0.04155625492160465
gru_single,GM,200,0.0668544627543762
gru_multi,GM,200,0.0390182411503837
